panel,outcome,model_type,parameter,beta,SE,t_value,ci_95_low,ci_95_high,p_value,significant,n_subjects,n_observations,formula
mri_only,MMSE,full,Intercept,28.769474,0.754739,38.1184,27.290212,30.248736,<0.001,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,C(sex)[T.M],-0.38309,0.131803,-2.9065,-0.64142,-0.12476,0.004,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,stage,-0.406974,0.039912,-10.1968,-0.4852,-0.328748,<0.001,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,years_since_baseline,-0.073157,0.038971,-1.8772,-0.149539,0.003226,0.060,False,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,stage:years_since_baseline,-0.258353,0.019503,-13.247,-0.296577,-0.220128,<0.001,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,age_at_baseline,-0.024554,0.008892,-2.7614,-0.041982,-0.007127,0.006,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,education_years,0.160458,0.025212,6.3643,0.111043,0.209873,<0.001,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,Group Var,1.281701,0.133307,9.6147,1.020425,1.542977,<0.001,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,Group x years_since_baseline Cov,0.513076,0.041664,12.3145,0.431415,0.594736,<0.001,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
mri_only,MMSE,full,years_since_baseline Var,0.367097,0.038569,9.5179,0.291503,0.442692,<0.001,True,928,4350,MMSE ~ stage * years_since_baseline + age_at_baseline + C(sex) + education_years
