panel,outcome,stage_level,years,predicted
mri_only,MMSE,Stage 0,0.5,29.5435
mri_only,MMSE,Stage 0,0.759,29.5246
mri_only,MMSE,Stage 0,1.017,29.5056
mri_only,MMSE,Stage 0,1.276,29.4867
mri_only,MMSE,Stage 0,1.534,29.4678
mri_only,MMSE,Stage 0,1.793,29.4489
mri_only,MMSE,Stage 0,2.052,29.43
mri_only,MMSE,Stage 0,2.31,29.411
mri_only,MMSE,Stage 0,2.569,29.3921
mri_only,MMSE,Stage 0,2.828,29.3732
mri_only,MMSE,Stage 0,3.086,29.3543
mri_only,MMSE,Stage 0,3.345,29.3354
mri_only,MMSE,Stage 0,3.603,29.3164
mri_only,MMSE,Stage 0,3.862,29.2975
mri_only,MMSE,Stage 0,4.121,29.2786
mri_only,MMSE,Stage 0,4.379,29.2597
mri_only,MMSE,Stage 0,4.638,29.2408
mri_only,MMSE,Stage 0,4.897,29.2218
mri_only,MMSE,Stage 0,5.155,29.2029
mri_only,MMSE,Stage 0,5.414,29.184
mri_only,MMSE,Stage 0,5.672,29.1651
mri_only,MMSE,Stage 0,5.931,29.1462
mri_only,MMSE,Stage 0,6.19,29.1272
mri_only,MMSE,Stage 0,6.448,29.1083
mri_only,MMSE,Stage 0,6.707,29.0894
mri_only,MMSE,Stage 0,6.966,29.0705
mri_only,MMSE,Stage 0,7.224,29.0516
mri_only,MMSE,Stage 0,7.483,29.0326
mri_only,MMSE,Stage 0,7.741,29.0137
mri_only,MMSE,Stage 0,8.0,28.9948
mri_only,MMSE,Stage 2,0.5,28.4712
mri_only,MMSE,Stage 2,0.759,28.3186
mri_only,MMSE,Stage 2,1.017,28.1661
mri_only,MMSE,Stage 2,1.276,28.0135
mri_only,MMSE,Stage 2,1.534,27.861
mri_only,MMSE,Stage 2,1.793,27.7084
mri_only,MMSE,Stage 2,2.052,27.5559
mri_only,MMSE,Stage 2,2.31,27.4033
mri_only,MMSE,Stage 2,2.569,27.2508
mri_only,MMSE,Stage 2,2.828,27.0982
mri_only,MMSE,Stage 2,3.086,26.9457
mri_only,MMSE,Stage 2,3.345,26.7931
mri_only,MMSE,Stage 2,3.603,26.6406
mri_only,MMSE,Stage 2,3.862,26.488
mri_only,MMSE,Stage 2,4.121,26.3355
mri_only,MMSE,Stage 2,4.379,26.1829
mri_only,MMSE,Stage 2,4.638,26.0304
mri_only,MMSE,Stage 2,4.897,25.8778
mri_only,MMSE,Stage 2,5.155,25.7253
mri_only,MMSE,Stage 2,5.414,25.5727
mri_only,MMSE,Stage 2,5.672,25.4202
mri_only,MMSE,Stage 2,5.931,25.2676
mri_only,MMSE,Stage 2,6.19,25.1151
mri_only,MMSE,Stage 2,6.448,24.9625
mri_only,MMSE,Stage 2,6.707,24.81
mri_only,MMSE,Stage 2,6.966,24.6574
mri_only,MMSE,Stage 2,7.224,24.5049
mri_only,MMSE,Stage 2,7.483,24.3523
mri_only,MMSE,Stage 2,7.741,24.1998
mri_only,MMSE,Stage 2,8.0,24.0472
mri_only,MMSE,Stage 5,0.5,26.8627
mri_only,MMSE,Stage 5,0.759,26.5097
mri_only,MMSE,Stage 5,1.017,26.1567
mri_only,MMSE,Stage 5,1.276,25.8037
mri_only,MMSE,Stage 5,1.534,25.4507
mri_only,MMSE,Stage 5,1.793,25.0977
mri_only,MMSE,Stage 5,2.052,24.7447
mri_only,MMSE,Stage 5,2.31,24.3917
mri_only,MMSE,Stage 5,2.569,24.0388
mri_only,MMSE,Stage 5,2.828,23.6858
mri_only,MMSE,Stage 5,3.086,23.3328
mri_only,MMSE,Stage 5,3.345,22.9798
mri_only,MMSE,Stage 5,3.603,22.6268
mri_only,MMSE,Stage 5,3.862,22.2738
mri_only,MMSE,Stage 5,4.121,21.9208
mri_only,MMSE,Stage 5,4.379,21.5678
mri_only,MMSE,Stage 5,4.638,21.2148
mri_only,MMSE,Stage 5,4.897,20.8618
mri_only,MMSE,Stage 5,5.155,20.5088
mri_only,MMSE,Stage 5,5.414,20.1558
mri_only,MMSE,Stage 5,5.672,19.8028
mri_only,MMSE,Stage 5,5.931,19.4498
mri_only,MMSE,Stage 5,6.19,19.0968
mri_only,MMSE,Stage 5,6.448,18.7438
mri_only,MMSE,Stage 5,6.707,18.3908
mri_only,MMSE,Stage 5,6.966,18.0378
mri_only,MMSE,Stage 5,7.224,17.6848
mri_only,MMSE,Stage 5,7.483,17.3318
mri_only,MMSE,Stage 5,7.741,16.9788
mri_only,MMSE,Stage 5,8.0,16.6258
mri_only,CDRSUM,Stage 0,0.5,-0.2225
mri_only,CDRSUM,Stage 0,0.759,-0.2061
mri_only,CDRSUM,Stage 0,1.017,-0.1897
mri_only,CDRSUM,Stage 0,1.276,-0.1733
mri_only,CDRSUM,Stage 0,1.534,-0.1569
mri_only,CDRSUM,Stage 0,1.793,-0.1405
mri_only,CDRSUM,Stage 0,2.052,-0.1241
mri_only,CDRSUM,Stage 0,2.31,-0.1077
mri_only,CDRSUM,Stage 0,2.569,-0.0913
mri_only,CDRSUM,Stage 0,2.828,-0.0749
mri_only,CDRSUM,Stage 0,3.086,-0.0585
mri_only,CDRSUM,Stage 0,3.345,-0.0421
mri_only,CDRSUM,Stage 0,3.603,-0.0257
mri_only,CDRSUM,Stage 0,3.862,-0.0093
mri_only,CDRSUM,Stage 0,4.121,0.0071
mri_only,CDRSUM,Stage 0,4.379,0.0235
mri_only,CDRSUM,Stage 0,4.638,0.0399
mri_only,CDRSUM,Stage 0,4.897,0.0563
mri_only,CDRSUM,Stage 0,5.155,0.0727
mri_only,CDRSUM,Stage 0,5.414,0.0892
mri_only,CDRSUM,Stage 0,5.672,0.1056
mri_only,CDRSUM,Stage 0,5.931,0.122
mri_only,CDRSUM,Stage 0,6.19,0.1384
mri_only,CDRSUM,Stage 0,6.448,0.1548
mri_only,CDRSUM,Stage 0,6.707,0.1712
mri_only,CDRSUM,Stage 0,6.966,0.1876
mri_only,CDRSUM,Stage 0,7.224,0.204
mri_only,CDRSUM,Stage 0,7.483,0.2204
mri_only,CDRSUM,Stage 0,7.741,0.2368
mri_only,CDRSUM,Stage 0,8.0,0.2532
mri_only,CDRSUM,Stage 2,0.5,0.5438
mri_only,CDRSUM,Stage 2,0.759,0.6664
mri_only,CDRSUM,Stage 2,1.017,0.789
mri_only,CDRSUM,Stage 2,1.276,0.9116
mri_only,CDRSUM,Stage 2,1.534,1.0343
mri_only,CDRSUM,Stage 2,1.793,1.1569
mri_only,CDRSUM,Stage 2,2.052,1.2795
mri_only,CDRSUM,Stage 2,2.31,1.4021
mri_only,CDRSUM,Stage 2,2.569,1.5248
mri_only,CDRSUM,Stage 2,2.828,1.6474
mri_only,CDRSUM,Stage 2,3.086,1.77
mri_only,CDRSUM,Stage 2,3.345,1.8926
mri_only,CDRSUM,Stage 2,3.603,2.0153
mri_only,CDRSUM,Stage 2,3.862,2.1379
mri_only,CDRSUM,Stage 2,4.121,2.2605
mri_only,CDRSUM,Stage 2,4.379,2.3831
mri_only,CDRSUM,Stage 2,4.638,2.5058
mri_only,CDRSUM,Stage 2,4.897,2.6284
mri_only,CDRSUM,Stage 2,5.155,2.751
mri_only,CDRSUM,Stage 2,5.414,2.8736
mri_only,CDRSUM,Stage 2,5.672,2.9963
mri_only,CDRSUM,Stage 2,5.931,3.1189
mri_only,CDRSUM,Stage 2,6.19,3.2415
mri_only,CDRSUM,Stage 2,6.448,3.3641
mri_only,CDRSUM,Stage 2,6.707,3.4868
mri_only,CDRSUM,Stage 2,6.966,3.6094
mri_only,CDRSUM,Stage 2,7.224,3.732
mri_only,CDRSUM,Stage 2,7.483,3.8546
mri_only,CDRSUM,Stage 2,7.741,3.9773
mri_only,CDRSUM,Stage 2,8.0,4.0999
mri_only,CDRSUM,Stage 5,0.5,1.6931
mri_only,CDRSUM,Stage 5,0.759,1.9751
mri_only,CDRSUM,Stage 5,1.017,2.257
mri_only,CDRSUM,Stage 5,1.276,2.539
