variable,panel,All,CN,CIND,AD
N,mri_only,990,808,67,115
Age (years),mri_only,70.48 ± 8.59,69.49 ± 8.59,74.75 ± 6.49,74.90 ± 7.54
"Female, n (%)",mri_only,568 (57.4%),481 (59.5%),33 (49.3%),54 (47.0%)
Education (yrs),mri_only,15.88 ± 2.61,16.05 ± 2.54,15.70 ± 2.56,14.78 ± 2.86
"APOE ε4, n (%)",mri_only,393 (39.7%),282 (34.9%),36 (53.7%),75 (65.2%)
Baseline MMSE,mri_only,28.48 ± 2.22,29.05 ± 1.23,27.72 ± 2.47,24.97 ± 3.65
Baseline CDR-SB,mri_only,0.49 ± 1.30,0.02 ± 0.09,1.21 ± 1.04,3.42 ± 1.84
EBM stage,mri_only,1.0 [0.0–2.0],1.0 [0.0–2.0],2.0 [0.0–4.0],4.0 [2.0–5.0]
Follow-up (yrs),mri_only,5.7 [3.0–9.3],6.2 [3.7–10.2],4.5 [2.1–7.5],3.1 [1.8–5.0]
N,mri_amyloid,649,574,37,38
Age (years),mri_amyloid,68.98 ± 8.63,68.29 ± 8.58,74.51 ± 6.82,74.10 ± 7.27
"Female, n (%)",mri_amyloid,386 (59.5%),344 (59.9%),23 (62.2%),19 (50.0%)
Education (yrs),mri_amyloid,16.11 ± 2.51,16.22 ± 2.44,16.05 ± 2.56,14.53 ± 3.03
"APOE ε4, n (%)",mri_amyloid,235 (36.2%),195 (34.0%),18 (48.6%),22 (57.9%)
Baseline MMSE,mri_amyloid,28.88 ± 1.63,29.14 ± 1.15,27.81 ± 2.09,25.95 ± 3.32
Baseline CDR-SB,mri_amyloid,0.26 ± 0.89,0.01 ± 0.08,1.18 ± 0.68,3.00 ± 1.98
EBM stage,mri_amyloid,1.0 [0.0–3.0],1.0 [0.0–3.0],4.0 [1.0–5.0],5.5 [4.0–6.0]
Follow-up (yrs),mri_amyloid,5.1 [3.0–8.5],5.5 [3.1–8.9],3.7 [1.9–5.1],3.6 [1.9–6.0]
